;;Total;Suisse;Total étrangers;Europe (sans la Suisse);Allemagne;Royaume-Uni;France;Italie;Pays-Bas;Autres Europe;Asie;Chine (sans Hong Kong);Pays du Golfe;Japon;Inde;République de Corée;Autres Asie;Amérique;Etats-Unis d'Amérique;Canada;Brésil;Autres Amérique;Afrique;Océanie
Part des nuitées 2009 (en %);du total;100;43,3;56,7;43,6;16,9;5,2;4;3,2;2,9;11,4;6,3;0,8;1,1;1,3;0,9;0,3;1,9;5,4;3,9;0,6;0,4;0,5;0,8;0,6
;par continent;100;100;100;100;38,8;12;9,2;7,3;6,6;26,1;100;12,2;16,8;21,2;14,5;4,8;30,6;100;72,5;10,9;7,6;9,1;100;100
Part des nuitées 2010 (en %);du total;100;43,5;56,5;42,1;16,1;5,1;4;3;2,7;11,2;7,2;1,1;1,2;1,4;1,1;0,4;2,1;5,8;4,2;0,6;0,5;0,5;0,7;0,7
;par continent;100;100;100;100;38,2;12,2;9,5;7,1;6,5;26,6;100;15,5;16,2;19,4;15,1;5,2;28,6;100;72,2;10,8;8,1;8,9;100;100
Part des nuitées 2011 (en %);du total;100;44,4;55,6;39,8;14,7;4,8;3,9;2,8;2,4;11,1;8,3;1,7;1,2;1,4;1,3;0,5;2,4;6;4,2;0,6;0,5;0,6;0,8;0,8
;par continent;100;100;100;100;36,9;12;9,9;7,1;6;28;100;20,1;14,2;16,2;15,6;5,7;28,3;100;70,5;10,8;9,2;9,5;100;100
Part des nuitées 2012 (en %);du total;100;45,1;54,9;37,5;13,3;4,4;3,8;2,8;2,1;11;9,5;2,1;1,5;1,5;1,4;0,5;2,6;6,2;4,4;0,7;0,6;0,6;0,9;0,8
;par continent;100;100;100;100;35,5;11,9;10,1;7,5;5,6;29,4;100;22,5;15,7;15,4;14,4;5,2;26,8;100;70,6;10,7;9,3;9,3;100;100
Part des nuitées 2013 (en %);du total;100;44,6;55,4;37,2;12,8;4,6;3,8;2,8;2;11,2;10,2;2,5;1,7;1,4;1,3;0,5;2,7;6,3;4,5;0,6;0,6;0,6;0,8;0,9
;par continent;100;100;100;100;34,5;12,4;10,2;7,4;5,4;30,2;100;24,6;17,1;13,5;12,9;5,2;26,7;100;70,8;10,3;9,2;9,7;100;100
Part des nuitées 2014 (en %);du total;100;44,6;55,4;36,2;12,2;4,6;3,7;2,8;1,9;10,9;11,1;2,9;2,1;1,2;1,4;0,7;2,8;6,4;4,6;0,6;0,6;0,6;0,8;0,9
;par continent;100;100;100;100;33,8;12,8;10,3;7,8;5,2;30,1;100;25,9;19,3;11;12,1;6,6;25,1;100;71,2;10;9,6;9,2;100;100
Part des nuitées 2015 (en %);du total;100;45,1;54,9;33,1;10,8;4,6;3,5;2,6;1,6;9,9;13,3;3,9;2,6;1,1;1,7;0,9;3,2;6,8;4,9;0,7;0,6;0,6;0,8;0,9
;par continent;100;100;100;100;32,7;13,9;10,6;7,9;5;29,9;100;29,1;19,6;8,3;12,5;6,7;23,8;100;71,9;9,7;9,3;9,1;100;100
Part des nuitées 2016 (en %);du total;100;45,7;54,3;32,7;10,4;4,6;3,5;2,6;1,6;9,9;12,9;3,2;2,7;1;1,7;1;3,4;7;5,2;0,6;0,6;0,6;0,8;0,9
;par continent;100;100;100;100;31,9;14,1;10,7;7,9;5;30,4;100;24,7;20,9;7,9;13,1;7,4;26;100;73,7;9,1;8,1;9;100;100
Part des nuitées 2017 (en %);du total;100;45,2;54,8;31,7;10;4,3;3,3;2,5;1,6;10;13,8;3,4;2,5;1,1;2;1,2;3,7;7,5;5,5;0,7;0,7;0,7;0,7;1
;par continent;100;100;100;100;31,5;13,6;10,5;7,8;5,1;31,4;100;24,7;17,8;7,9;14,3;8,8;26,4;100;73,2;8,9;8,8;9,2;100;100
Part des nuitées 2018 (en %);du total;100;44,9;55,1;31,6;10;4,3;3,3;2,4;1,6;10;14;3,5;2,4;1;2,1;1,2;3,8;7,8;5,8;0,7;0,6;0,7;0,7;1
;par continent;100;100;100;100;31,7;13,5;10,5;7,5;5,2;31,6;100;25,1;17,5;7,1;15;8,4;27;100;74;8,9;8;9,2;100;100